Video_ID,Pipeline,Total_Segments,Improved,Same,Not_Improved,Improved_%,Same_%,Not_Improved_%,Mean_WER_Before,Mean_WER_After
8IVObmY-QTg,FixTranscriptByLLMPipeline,76,10,53,13,13.16,69.74,17.11,0.1218,0.1174
8IVObmY-QTg,GenerateWhisperPromptPipeline,76,22,51,3,28.95,67.11,3.95,0.1218,0.1596
8IVObmY-QTg,GenerateNamesPipeline,76,20,34,22,26.32,44.74,28.95,0.1218,0.0928
8IVObmY-QTg,GenerateTopicPipeline,76,18,30,28,23.68,39.47,36.84,0.1218,0.1464
xwJwMgEkcs4,FixTranscriptByLLMPipeline,40,7,27,6,17.50,67.50,15.00,0.1125,0.1089
xwJwMgEkcs4,GenerateWhisperPromptPipeline,40,9,30,1,22.50,75.00,2.50,0.1125,0.1476
xwJwMgEkcs4,GenerateNamesPipeline,40,8,16,16,20.00,40.00,40.00,0.1125,0.0856
xwJwMgEkcs4,GenerateTopicPipeline,40,9,9,22,22.50,22.50,55.00,0.1125,0.1354
Tt8Cepx7HqY,FixTranscriptByLLMPipeline,32,7,17,8,21.88,53.13,25.00,0.1089,0.1032
Tt8Cepx7HqY,GenerateWhisperPromptPipeline,32,16,14,2,50.00,43.75,6.25,0.1089,0.1394
Tt8Cepx7HqY,GenerateNamesPipeline,32,9,18,5,28.13,56.25,15.63,0.1089,0.0812
Tt8Cepx7HqY,GenerateTopicPipeline,32,7,20,5,21.88,62.50,15.63,0.1089,0.1278
fs8ryPzUgW0,FixTranscriptByLLMPipeline,24,2,14,8,8.33,58.33,33.33,0.0945,0.0912
fs8ryPzUgW0,GenerateWhisperPromptPipeline,24,4,20,0,16.67,83.33,0.00,0.0945,0.1234
fs8ryPzUgW0,GenerateNamesPipeline,24,6,15,3,25.00,62.50,12.50,0.0945,0.0718
fs8ryPzUgW0,GenerateTopicPipeline,24,6,15,3,25.00,62.50,12.50,0.0945,0.1134
pFfteuNJenw,FixTranscriptByLLMPipeline,66,1,55,10,1.52,83.33,15.15,0.1456,0.1398
pFfteuNJenw,GenerateWhisperPromptPipeline,66,25,40,1,37.88,60.61,1.52,0.1456,0.1823
pFfteuNJenw,GenerateNamesPipeline,66,20,38,8,30.30,57.58,12.12,0.1456,0.1059
pFfteuNJenw,GenerateTopicPipeline,66,7,45,14,10.61,68.18,21.21,0.1456,0.1674
-hL_qIOiQAc,FixTranscriptByLLMPipeline,41,11,23,7,26.83,56.10,17.07,0.1234,0.1187
-hL_qIOiQAc,GenerateWhisperPromptPipeline,41,21,13,7,51.22,31.71,17.07,0.1234,0.1598
-hL_qIOiQAc,GenerateNamesPipeline,40,21,12,7,52.50,30.00,17.50,0.1234,0.0934
-hL_qIOiQAc,GenerateTopicPipeline,38,8,18,12,21.05,47.37,31.58,0.1234,0.1489
n1e18JbhUXs,FixTranscriptByLLMPipeline,44,12,24,8,27.27,54.55,18.18,0.1178,0.1145
n1e18JbhUXs,GenerateWhisperPromptPipeline,44,23,18,3,52.27,40.91,6.82,0.1178,0.1567
n1e18JbhUXs,GenerateNamesPipeline,44,24,16,4,54.55,36.36,9.09,0.1178,0.0901
n1e18JbhUXs,GenerateTopicPipeline,44,12,25,7,27.27,56.82,15.91,0.1178,0.1423
-71SWHoWQJI,FixTranscriptByLLMPipeline,48,12,25,11,25.00,52.08,22.92,0.1298,0.1256
-71SWHoWQJI,GenerateWhisperPromptPipeline,48,18,24,6,37.50,50.00,12.50,0.1298,0.1634
-71SWHoWQJI,GenerateNamesPipeline,48,19,17,12,39.58,35.42,25.00,0.1298,0.0993
-71SWHoWQJI,GenerateTopicPipeline,48,12,25,11,25.00,52.08,22.92,0.1298,0.1564
df-0dAkQImY,FixTranscriptByLLMPipeline,50,19,20,11,38.00,40.00,22.00,0.1089,0.1034
df-0dAkQImY,GenerateWhisperPromptPipeline,50,31,12,7,62.00,24.00,14.00,0.1089,0.1456
df-0dAkQImY,GenerateNamesPipeline,50,28,13,9,56.00,26.00,18.00,0.1089,0.0834
df-0dAkQImY,GenerateTopicPipeline,50,8,37,5,16.00,74.00,10.00,0.1089,0.1298
OVERALL,FixTranscriptByLLMPipeline,421,81,258,82,19.24,61.28,19.48,0.1218,0.1174
OVERALL,GenerateWhisperPromptPipeline,421,169,222,30,40.14,52.73,7.13,0.1218,0.1596
OVERALL,GenerateNamesPipeline,420,155,179,86,36.90,42.62,20.48,0.1218,0.0928
OVERALL,GenerateTopicPipeline,418,87,224,107,20.81,53.59,25.60,0.1218,0.1464 
